round,client_id,added_type
3,39,federated
3,38,federated
3,36,small
3,35,federated
3,37,small
4,36,random
4,37,federated
5,36,federated
8,32,echo
8,41,federated
8,46,small
8,34,lazy
8,43,federated
8,44,federated
8,31,lazy
8,30,federated
8,47,small
8,40,federated
8,49,federated
8,33,lazy
8,45,federated
8,42,federated
9,46,random
9,34,federated
9,33,federated
9,47,federated
9,32,small
9,31,federated
10,46,federated
