round,accuracy,client_type,malicious_ratio
11,0.6627000000000001,lazy_4,4
12,0.6617,lazy_4,4
13,0.6618,lazy_4,4
14,0.662,lazy_4,4
15,0.6614000000000001,lazy_4,4
16,0.6573,lazy_4,4
17,0.6575,lazy_4,4
18,0.6585,lazy_4,4
19,0.658,lazy_4,4
20,0.6527000000000001,lazy_4,4
21,0.6557999999999999,lazy_4,4
22,0.6532,lazy_4,4
23,0.6553,lazy_4,4
24,0.6531,lazy_4,4
25,0.656,lazy_4,4
26,0.6553,lazy_4,4
27,0.6536000000000001,lazy_4,4
28,0.6546000000000001,lazy_4,4
29,0.6535,lazy_4,4
30,0.6516,lazy_4,4
1,0.5755,echo_1,1
2,0.6209,echo_1,1
3,0.6412,echo_1,1
4,0.6514,echo_1,1
5,0.6596,echo_1,1
6,0.662,echo_1,1
7,0.6637000000000001,echo_1,1
8,0.6648,echo_1,1
9,0.6641,echo_1,1
10,0.6636,echo_1,1
11,0.6624000000000001,echo_1,1
12,0.6628000000000001,echo_1,1
13,0.661,echo_1,1
14,0.6566,echo_1,1
15,0.6542,echo_1,1
16,0.6549,echo_1,1
17,0.6538,echo_1,1
18,0.6553,echo_1,1
19,0.6522,echo_1,1
20,0.6547000000000001,echo_1,1
21,0.6513,echo_1,1
22,0.6504000000000001,echo_1,1
23,0.6488,echo_1,1
24,0.6508,echo_1,1
25,0.6487,echo_1,1
26,0.6499,echo_1,1
27,0.6476,echo_1,1
28,0.6458999999999999,echo_1,1
29,0.6482,echo_1,1
30,0.6499,echo_1,1
1,0.5624,echo_2,2
2,0.6254,echo_2,2
3,0.6442,echo_2,2
4,0.6484,echo_2,2
5,0.6576000000000001,echo_2,2
6,0.6618,echo_2,2
7,0.6624000000000001,echo_2,2
8,0.6645000000000001,echo_2,2
9,0.6655,echo_2,2
10,0.6646000000000001,echo_2,2
11,0.6661,echo_2,2
12,0.665,echo_2,2
13,0.6641,echo_2,2
14,0.6667,echo_2,2
15,0.6689,echo_2,2
16,0.6635000000000001,echo_2,2
17,0.6612,echo_2,2
18,0.6601,echo_2,2
19,0.6599,echo_2,2
20,0.6585,echo_2,2
21,0.6603,echo_2,2
22,0.658,echo_2,2
23,0.6593,echo_2,2
24,0.6567000000000001,echo_2,2
25,0.6561,echo_2,2
26,0.6552,echo_2,2
27,0.6549,echo_2,2
28,0.6524,echo_2,2
29,0.6537,echo_2,2
30,0.6549,echo_2,2
1,0.5698000000000001,echo_3,3
2,0.6292,echo_3,3
3,0.6517000000000001,echo_3,3
4,0.6626000000000001,echo_3,3
5,0.6655,echo_3,3
6,0.6687000000000001,echo_3,3
7,0.6724,echo_3,3
8,0.6733,echo_3,3
9,0.6766,echo_3,3
10,0.6761,echo_3,3
11,0.6748999999999999,echo_3,3
12,0.6741,echo_3,3
13,0.6746000000000001,echo_3,3
14,0.6722,echo_3,3
15,0.6703,echo_3,3
16,0.6706000000000001,echo_3,3
17,0.6667,echo_3,3
18,0.6653,echo_3,3
19,0.6639,echo_3,3
20,0.6629,echo_3,3
21,0.6618,echo_3,3
22,0.6609,echo_3,3
23,0.6614000000000001,echo_3,3
24,0.6626000000000001,echo_3,3
25,0.6612,echo_3,3
26,0.6618,echo_3,3
27,0.6639,echo_3,3
28,0.6639,echo_3,3
29,0.6639,echo_3,3
30,0.6645000000000001,echo_3,3
1,0.5437000000000001,echo_4,4
2,0.6101,echo_4,4
3,0.6298,echo_4,4
4,0.6399,echo_4,4
5,0.6437,echo_4,4
6,0.647,echo_4,4
7,0.6473,echo_4,4
8,0.6496000000000001,echo_4,4
9,0.6521,echo_4,4
10,0.6524,echo_4,4
11,0.6536000000000001,echo_4,4
12,0.6537,echo_4,4
13,0.6546000000000001,echo_4,4
14,0.6531,echo_4,4
15,0.6513,echo_4,4
16,0.649,echo_4,4
17,0.6496999999999999,echo_4,4
18,0.6464000000000001,echo_4,4
19,0.6477,echo_4,4
20,0.6454000000000001,echo_4,4
21,0.6436,echo_4,4
22,0.6452,echo_4,4
23,0.6426000000000001,echo_4,4
24,0.6421,echo_4,4
25,0.6437,echo_4,4
26,0.6436,echo_4,4
27,0.6428,echo_4,4
28,0.6442,echo_4,4
29,0.6446,echo_4,4
30,0.6449,echo_4,4
1,0.5785,small_1,1
2,0.6321,small_1,1
3,0.643,small_1,1
4,0.6446,small_1,1
5,0.6567000000000001,small_1,1
6,0.6569,small_1,1
7,0.6598,small_1,1
8,0.6625,small_1,1
9,0.6618,small_1,1
10,0.6615,small_1,1
11,0.6634,small_1,1
12,0.6612,small_1,1
13,0.6596,small_1,1
14,0.6605000000000001,small_1,1
15,0.6545,small_1,1
16,0.6559,small_1,1
17,0.6557999999999999,small_1,1
18,0.6567000000000001,small_1,1
19,0.6542,small_1,1
20,0.6505,small_1,1
21,0.6504000000000001,small_1,1
22,0.6523000000000001,small_1,1
23,0.6511,small_1,1
24,0.652,small_1,1
25,0.652,small_1,1
26,0.6525000000000001,small_1,1
27,0.6534000000000001,small_1,1
28,0.6531,small_1,1
29,0.6527000000000001,small_1,1
30,0.6529,small_1,1
1,0.5779,small_2,2
2,0.6292,small_2,2
3,0.6481,small_2,2
4,0.6566,small_2,2
5,0.6645,small_2,2
6,0.6638,small_2,2
7,0.6648000000000001,small_2,2
8,0.6649,small_2,2
9,0.6693,small_2,2
10,0.6675,small_2,2
11,0.669,small_2,2
12,0.666,small_2,2
13,0.6661,small_2,2
14,0.6611,small_2,2
15,0.6601,small_2,2
16,0.6597000000000001,small_2,2
17,0.6557000000000001,small_2,2
18,0.6537,small_2,2
19,0.6547000000000001,small_2,2
20,0.6562,small_2,2
21,0.6573,small_2,2
22,0.6526,small_2,2
23,0.6584000000000001,small_2,2
24,0.6581,small_2,2
25,0.6601,small_2,2
26,0.6565000000000001,small_2,2
27,0.6572,small_2,2
28,0.6589,small_2,2
29,0.6577,small_2,2
30,0.6586000000000001,small_2,2
1,0.5598,small_3,3
2,0.6208,small_3,3
3,0.6382,small_3,3
4,0.646,small_3,3
5,0.6479,small_3,3
6,0.6517000000000001,small_3,3
7,0.6515000000000001,small_3,3
8,0.6496999999999999,small_3,3
9,0.6521,small_3,3
10,0.6477,small_3,3
11,0.6491,small_3,3
12,0.6496999999999999,small_3,3
13,0.6484,small_3,3
14,0.6469,small_3,3
15,0.6413,small_3,3
16,0.6436,small_3,3
17,0.6416000000000001,small_3,3
18,0.6406000000000001,small_3,3
19,0.6382,small_3,3
20,0.6389,small_3,3
21,0.6379,small_3,3
22,0.6406000000000001,small_3,3
23,0.6399,small_3,3
24,0.6383,small_3,3
25,0.6369,small_3,3
26,0.6407,small_3,3
27,0.639,small_3,3
28,0.64,small_3,3
29,0.6392,small_3,3
30,0.6401,small_3,3
1,0.5606,small_4,4
2,0.6155999999999999,small_4,4
3,0.6304000000000001,small_4,4
4,0.6353,small_4,4
5,0.6378,small_4,4
6,0.6397999999999999,small_4,4
