Round,F1_SVM,F1_IForest,F1_KMeans,F1_Meta,Accuracy_Meta
10,0.3894165535956581,0.4945054945054945,0.5200451722190853,1.0,1.0
20,0.3395898505387556,0.5934065934065934,0.5092286354422276,0.9789827658680117,0.98
30,0.3221131369798972,0.5638460401163077,0.45193304695600656,0.8128604346220927,0.8366666666666667
40,0.31319890816236684,0.5558748612108941,0.375,0.7451866507783049,0.7875
1_10,0.5586380832282472,0.5604395604395604,0.612789025334661,1.0,1.0
1_20,0.3395898505387556,0.5535714285714286,0.375,0.829059829059829,0.85
1_30,0.3221131369798972,0.525101763907734,0.43566779311148474,0.8743285200335124,0.8866666666666667
1_40,0.31319890816236684,0.5934065934065934,0.4336030908016767,0.782806492324851,0.815
2_10,0.47916666666666663,0.6043956043956044,0.5614035087719298,1.0,1.0
2_20,0.3395898505387556,0.6263736263736264,0.4982078853046595,0.8663101604278074,0.88
2_30,0.2857142857142857,0.5687468290208015,0.4438559322033898,0.727904048950197,0.7766666666666666
2_40,0.2857142857142857,0.5934065934065934,0.4273658830620856,0.8194208568910291,0.8425
2_10,0.3894165535956581,0.612789025334661,0.375,1.0,1.0
2_20,0.3395898505387556,0.5783475783475784,0.5869090909090909,0.9131944444444444,0.92
2_30,0.35661764705882354,0.5989304812834224,0.5874192776847644,0.9244957394024377,0.93
2_40,0.31319890816236684,0.5059742647058824,0.375,0.7779336138382422,0.81
2_10,0.3894165535956581,0.5847828526540231,0.541093032957864,1.0,1.0
2_20,0.3395898505387556,0.5714830794517332,0.4638463515845911,0.8663101604278074,0.88
2_30,0.3894165535956581,0.5970695970695971,0.5680181887078439,0.9017359973796266,0.91
2_40,0.2857142857142857,0.5597265670258371,0.4336030908016767,0.7558374701231845,0.7925
2_10,0.3894165535956581,0.5535714285714286,0.375,0.9789827658680117,0.98
2_20,0.3395898505387556,0.6043956043956044,0.375,0.957765811424348,0.96
2_30,0.3221131369798972,0.554367201426025,0.45193304695600656,0.8458627301093999,0.8633333333333333
2_40,0.31319890816236684,0.5583508036338225,0.375,0.7379024665787988,0.7825
3_10,0.3894165535956581,0.5989304812834224,0.541093032957864,1.0,1.0
3_20,0.3395898505387556,0.5714285714285714,0.375,0.9789827658680117,0.98
3_30,0.3221131369798972,0.5895318175033584,0.4755244755244755,0.8743285200335124,0.8866666666666667
3_40,0.31319890816236684,0.5180111618467782,0.4146934742123066,0.7523847880727035,0.7925
4_10,0.3894165535956581,0.5464100011063171,0.541093032957864,1.0,1.0
4_20,0.3894165535956581,0.6593406593406593,0.5448735933164999,0.968324358568261,0.97
4_30,0.3221131369798972,0.4782608695652174,0.375,0.8074454428754814,0.8333333333333334
4_40,0.3395898505387556,0.6098901098901099,0.5779898248657773,0.8727735368956744,0.885
5_10,0.3894165535956581,0.5703301673450927,0.45193304695600656,1.0,1.0
5_20,0.3395898505387556,0.5448735933164999,0.4755244755244755,0.8479344428486948,0.865
5_30,0.3221131369798972,0.5495774962464791,0.43566779311148474,0.7712813502287187,0.8066666666666666
5_40,0.31319890816236684,0.600987898926107,0.5253790375741596,0.8226493892845905,0.845
6_10,0.3894165535956581,0.5477159656264134,0.45193304695600656,1.0,1.0
6_20,0.3395898505387556,0.5709259418175577,0.52,0.9411748977245381,0.945
6_30,0.3221131369798972,0.5824175824175825,0.375,0.8978797899241393,0.9066666666666666
6_40,0.31319890816236684,0.5150461124256892,0.42106308709595025,0.7116918169549749,0.765
7_10,0.3894165535956581,0.49286472461375164,0.375,1.0,1.0
7_20,0.3894165535956581,0.6153846153846154,0.5092286354422276,0.9842730203664386,0.985
7_30,0.35661764705882354,0.5820687596397831,0.48318333306499656,0.9210526315789473,0.9266666666666666
8_10,0.3894165535956581,0.5703301673450927,0.5614035087719298,1.0,1.0
8_20,0.3894165535956581,0.6263736263736264,0.6027617516315142,0.9789827658680117,0.98
8_30,0.3221131369798972,0.5020674392871702,0.4273658830620856,0.7863552200541234,0.8166666666666667
9_10,0.3894165535956581,0.5847828526540231,0.5614035087719298,0.9896254798215582,0.99
9_20,0.3894165535956581,0.6483516483516483,0.48697568553777226,0.968324358568261,0.97
9_30,0.3221131369798972,0.5895318175033584,0.544647459762873,0.8944571823707101,0.9033333333333333
10_10,0.3894165535956581,0.5404411764705883,0.375,1.0,1.0
10_20,0.3395898505387556,0.6153846153846154,0.5306644250639208,1.0,1.0
10_30,0.35661764705882354,0.6263736263736264,0.596196803940661,0.9432113955799537,0.9466666666666667
2_10,0.3894165535956581,0.6263736263736264,0.5810244627652386,1.0,1.0
2_20,0.3395898505387556,0.5287698412698413,0.45193304695600656,0.8732048843683674,0.885
2_30,0.2857142857142857,0.5522165281854818,0.43566779311148474,0.8417005879692447,0.86
2_40,0.2857142857142857,0.5824175824175825,0.375,0.7822915986327912,0.8125
