normal,abnormal,round
6,4,1
6,4,2
5,5,3
4,6,4
7,3,5
6,4,6
5,5,7
6,4,8
3,7,9
1,9,10
0,10,11
2,8,12
3,7,13
0,10,14
2,8,15
0,10,16
2,8,17
4,6,18
1,9,19
4,6,20
1,9,21
0,10,22
6,4,23
0,10,24
4,6,25
1,9,26
3,7,27
1,9,28
1,9,29
1,9,30
