round,global_loss
1,5.78959168762207
2,3.931651952056885
3,3.0762043071746827
4,1.3403495754623413
5,1.3219631653213502
6,3.2427093369293214
7,2.6343108712768553
8,2.4438545037841797
9,1.335391892528534
10,1.2777511598205566
11,4.139859099349976
12,1.3940057269477844
13,13.414456759948731
14,1.6114192951965332
15,2.5096446865844726
16,5.257119703826905
17,2.6420170732879638
18,10.932845639343261
19,4.738372713623047
20,10.491585989685058
21,6.153184478302002
22,2.5164051007843016
23,4.518382882537842
24,4.279562731781006
25,6.30550602142334
26,15.3903264553833
27,2.9122850092315673
28,4.384949777679443
29,4.009157384490967
30,7.526059641113282
